iter	Passed	Remaining
406	7843	11427
407	7861	11407
408	7888	11399
409	7912	11385
410	7931	11366
411	7954	11352
412	7987	11352
413	8018	11349
414	8048	11344
415	8068	11326
416	8098	11321
417	8121	11307
418	8141	11289
419	8160	11268
420	8181	11251
421	8203	11235
422	8223	11216
423	8245	11200
424	8264	11182
425	8283	11161
426	8320	11165
427	8343	11150
428	8362	11129
429	8380	11109
430	8400	11090
431	8419	11070
432	8437	11049
433	8459	11032
434	8480	11015
435	8502	10998
436	8529	10989
437	8553	10974
438	8573	10955
439	8592	10935
440	8611	10915
441	8631	10897
442	8650	10876
443	8668	10854
444	8687	10834
445	8706	10815
446	8724	10793
447	8755	10787
448	8775	10768
449	8796	10751
450	8815	10731
451	8834	10710
452	8852	10689
453	8874	10673
454	8895	10655
455	8916	10636
456	8933	10615
457	8960	10603
458	8986	10592
459	9007	10574
460	9028	10555
461	9047	10535
462	9066	10515
463	9084	10494
464	9103	10474
465	9122	10453
466	9146	10439
467	9172	10426
468	9195	10411
469	9217	10394
470	9237	10375
471	9257	10355
472	9278	10337
473	9298	10318
474	9318	10299
475	9338	10280
476	9356	10258
477	9384	10248
478	9407	10232
479	9428	10214
480	9449	10195
481	9472	10180
482	9491	10159
483	9511	10140
484	9531	10121
485	9549	10100
486	9568	10078
487	9596	10068
488	9618	10051
489	9639	10032
490	9662	10017
491	9683	9998
492	9702	9977
493	9721	9957
494	9740	9937
495	9759	9917
496	9777	9895
497	9805	9883
498	9828	9868
499	9849	9849
500	9868	9829
501	9889	9810
502	9909	9791
503	9931	9774
504	9965	9768
505	9994	9757
506	10020	9744
507	10056	9739
508	10080	9723
509	10101	9705
510	10120	9684
511	10137	9662
512	10158	9643
513	10177	9623
514	10200	9606
515	10224	9590
516	10254	9580
517	10283	9569
518	10307	9553
519	10329	9534
520	10350	9516
521	10370	9495
522	10389	9476
523	10409	9456
524	10434	9440
525	10457	9423
526	10489	9414
527	10511	9396
528	10531	9377
529	10550	9356
530	10569	9335
531	10587	9314
532	10612	9298
533	10635	9281
534	10658	9263
535	10685	9250
536	10724	9246
537	10753	9234
538	10795	9233
539	10867	9257
540	10948	9288
541	10992	9289
542	11028	9281
543	11126	9326
544	11203	9353
545	11247	9352
546	11277	9339
547	11305	9324
548	11339	9315
549	11453	9370
550	11492	9365
551	11522	9351
552	11543	9330
553	11562	9308
554	11581	9285
555	11602	9265
556	11623	9244
557	11649	9227
558	11682	9216
559	11707	9199
560	11730	9179
561	11750	9157
562	11769	9135
563	11787	9112
564	11805	9089
565	11825	9067
566	11843	9044
567	11862	9022
568	11881	8999
569	11911	8985
570	11937	8968
571	11963	8951
572	11984	8930
573	12003	8908
574	12022	8886
575	12046	8867
576	12066	8845
577	12088	8826
578	12114	8808
579	12149	8797
580	12174	8780
581	12203	8764
582	12227	8745
583	12246	8723
584	12264	8700
585	12281	8677
586	12299	8653
587	12324	8635
588	12348	8616
589	12368	8594
590	12385	8571
591	12405	8549
592	12431	8532
593	12452	8511
594	12474	8491
595	12493	8468
596	12512	8446
597	12539	8429
598	12561	8409
599	12580	8386
600	12598	8364
601	12617	8341
602	12635	8318
603	12656	8298
604	12678	8277
605	12701	8257
606	12722	8236
607	12753	8222
608	12776	8202
609	12799	8182
610	12821	8163
611	12841	8141
612	12860	8119
613	12879	8096
614	12898	8074
615	12918	8053
616	12937	8030
617	12967	8015
618	12988	7994
619	13009	7973
620	13029	7951
621	13049	7930
622	13069	7908
623	13088	7886
624	13107	7864
625	13126	7842
626	13145	7820
627	13176	7805
628	13197	7784
629	13220	7764
630	13240	7743
631	13260	7721
632	13278	7698
633	13298	7676
634	13319	7656
635	13342	7636
636	13364	7616
637	13394	7599
638	13417	7580
639	13439	7559
640	13460	7538
641	13477	7515
642	13496	7493
643	13515	7471
644	13537	7450
645	13555	7428
646	13573	7405
647	13593	7384
648	13625	7368
649	13647	7348
650	13667	7327
651	13686	7305
652	13706	7283
653	13725	7261
654	13744	7239
655	13762	7216
656	13781	7194
657	13810	7177
658	13830	7156
659	13850	7135
660	13876	7116
661	13902	7098
662	13928	7079
663	13954	7061
664	13983	7044
665	14004	7023
666	14029	7004
667	14057	6986
668	14076	6964
669	14097	6943
670	14120	6923
671	14144	6903
672	14165	6882
673	14189	6862
674	14212	6842
675	14237	6823
676	14268	6807
677	14286	6784
678	14304	6762
679	14323	6740
680	14341	6718
681	14359	6695
682	14377	6673
683	14407	6655
684	14428	6635
685	14456	6616
